epoch,alpha,delta,root
0,0.9497459530830383,1.4997459650039673,0.2998094856739044
1,0.9494919180870056,1.4994919300079346,0.2996189594268799
2,0.9492378830909729,1.4992378950119019,0.29942843317985535
3,0.9489838480949402,1.4989838600158691,0.2992379069328308
4,0.9487298130989075,1.4987298250198364,0.2990473806858063
5,0.9484757781028748,1.4984757900238037,0.29885685443878174
6,0.948221743106842,1.498221755027771,0.2986663281917572
7,0.9479677081108093,1.4979677200317383,0.29847580194473267
8,0.9477136731147766,1.4977136850357056,0.29828527569770813
9,0.9474596381187439,1.4974596500396729,0.2980947494506836
10,0.9472056031227112,1.4972056150436401,0.29790422320365906
11,0.9469515681266785,1.4969515800476074,0.2977136969566345
12,0.9466975331306458,1.4966975450515747,0.29752317070961
13,0.946443498134613,1.496443510055542,0.29733264446258545
14,0.9461894631385803,1.4961894750595093,0.2971421182155609
15,0.9459354281425476,1.4959354400634766,0.2969515919685364
16,0.9456813931465149,1.4956814050674438,0.29676106572151184
17,0.9454273581504822,1.4954273700714111,0.2965705394744873
18,0.9451733231544495,1.4951733350753784,0.29638001322746277
19,0.9449192881584167,1.4949193000793457,0.29618948698043823
20,0.944665253162384,1.494665265083313,0.2959989607334137
21,0.9444112181663513,1.4944112300872803,0.29580843448638916
22,0.9441571831703186,1.4941571950912476,0.2956179082393646
23,0.9439031481742859,1.4939031600952148,0.2954273819923401
24,0.9436491131782532,1.4936491250991821,0.29523685574531555
25,0.9433950781822205,1.4933950901031494,0.295046329498291
26,0.9431410431861877,1.4931410551071167,0.2948558032512665
27,0.942887008190155,1.492887020111084,0.29466527700424194
28,0.9426329731941223,1.4926329851150513,0.2944747507572174
29,0.9423789381980896,1.4923789501190186,0.29428422451019287
